=== oger@teal_mask_ogerpon vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacf9-3bebdb; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 185 seat1: winner=1 turns=6 selects=54
  match 186 seat0: winner=0 turns=13 selects=158
  match 186 seat1: winner=1 turns=16 selects=176
  match 187 seat0: winner=0 turns=13 selects=172
  match 187 seat1: winner=0 turns=5 selects=53
  match 188 seat0: winner=0 turns=5 selects=74
  match 188 seat1: winner=1 turns=4 selects=42
  match 189 seat0: winner=0 turns=15 selects=119
  match 189 seat1: winner=1 turns=14 selects=183
  match 190 seat0: winner=0 turns=11 selects=123
  match 190 seat1: winner=1 turns=14 selects=181
  match 191 seat0: winner=0 turns=13 selects=163
  match 191 seat1: winner=1 turns=14 selects=193
  match 192 seat0: winner=0 turns=13 selects=175
  match 192 seat1: winner=0 turns=5 selects=73
  match 193 seat0: winner=0 turns=13 selects=164
  match 193 seat1: winner=1 turns=14 selects=162
  match 194 seat0: winner=0 turns=13 selects=165
  match 194 seat1: winner=0 turns=11 selects=157
  match 195 seat0: winner=0 turns=13 selects=184
  match 195 seat1: winner=1 turns=16 selects=193
  match 196 seat0: winner=0 turns=13 selects=137
  match 196 seat1: winner=1 turns=14 selects=170
  match 197 seat0: winner=0 turns=13 selects=162
  match 197 seat1: winner=0 turns=11 selects=156
  match 198 seat0: winner=0 turns=13 selects=151
  match 198 seat1: winner=1 turns=14 selects=165
  match 199 seat0: winner=0 turns=13 selects=134
  match 199 seat1: winner=1 turns=14 selects=153

A=bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.873 [0.836, 0.902] W349/D0/L51 over 400 games
  as P0: W/D/L=(178, 0, 22)  as P1: W/D/L=(171, 0, 29)
  elapsed 81.1s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_oger_teal_mask_ogerpon_vs_rulealakazam5_alakazam5.jsonl
  [health] OK calls=30881 fallbacks=0 net_missing=0 deck=400
