=== gar@cynthia_garchomp vs rule:archaludon@archaludon_ex matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 193 seat0: winner=1 turns=8 selects=81
  match 193 seat1: winner=0 turns=12 selects=128
  match 194 seat0: winner=0 turns=25 selects=168
  match 194 seat1: winner=0 turns=10 selects=125
  match 195 seat0: winner=1 turns=16 selects=131
  match 195 seat1: winner=0 turns=12 selects=122
  match 196 seat0: winner=0 turns=19 selects=161
  match 196 seat1: winner=1 turns=19 selects=132
  match 197 seat0: winner=1 turns=18 selects=171
  match 197 seat1: winner=1 turns=17 selects=150
  match 198 seat0: winner=0 turns=15 selects=116
  match 198 seat1: winner=1 turns=19 selects=143
  match 199 seat0: winner=1 turns=10 selects=113
  match 199 seat1: winner=1 turns=27 selects=155

A=bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.383 [0.336, 0.431] W153/D0/L247 over 400 games
  as P0: W/D/L=(75, 0, 125)  as P1: W/D/L=(78, 0, 122)
  elapsed 61.2s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_gar_cynthia_garchomp_vs_rulearchaludon_archaludon_ex.jsonl
  [health] OK calls=30587 fallbacks=0 net_missing=0 deck=400
