=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 143 seat0: winner=1 turns=11 selects=153
  match 143 seat1: winner=0 turns=11 selects=134
  match 144 seat0: winner=1 turns=12 selects=145
  match 144 seat1: winner=0 turns=13 selects=150
  match 145 seat0: winner=0 turns=11 selects=156
  match 145 seat1: winner=1 turns=10 selects=127
  match 146 seat0: winner=1 turns=14 selects=146
  match 146 seat1: winner=0 turns=15 selects=145
  match 147 seat0: winner=0 turns=13 selects=140
  match 147 seat1: winner=1 turns=10 selects=123
  match 148 seat0: winner=0 turns=13 selects=170
  match 148 seat1: winner=0 turns=16 selects=165
  match 149 seat0: winner=1 turns=20 selects=117
  match 149 seat1: winner=0 turns=7 selects=82
  match 150 seat0: winner=0 turns=13 selects=156
  match 150 seat1: winner=1 turns=14 selects=133
  match 151 seat0: winner=1 turns=12 selects=148
  match 151 seat1: winner=1 turns=12 selects=164
  match 152 seat0: winner=0 turns=11 selects=88
  match 152 seat1: winner=0 turns=14 selects=151
  match 153 seat0: winner=1 turns=15 selects=179
  match 153 seat1: winner=0 turns=11 selects=152
  match 154 seat0: winner=1 turns=2 selects=29
  match 154 seat1: winner=0 turns=15 selects=151
  match 155 seat0: winner=1 turns=13 selects=166
  match 155 seat1: winner=1 turns=10 selects=58
  match 156 seat0: winner=0 turns=9 selects=39
  match 156 seat1: winner=0 turns=11 selects=134
  match 157 seat0: winner=0 turns=7 selects=52
  match 157 seat1: winner=1 turns=12 selects=160
  match 158 seat0: winner=1 turns=10 selects=142
  match 158 seat1: winner=0 turns=11 selects=147
  match 159 seat0: winner=1 turns=12 selects=160
  match 159 seat1: winner=1 turns=12 selects=155
  match 160 seat0: winner=1 turns=10 selects=126
  match 160 seat1: winner=0 turns=11 selects=169
  match 161 seat0: winner=0 turns=13 selects=150
  match 161 seat1: winner=0 turns=13 selects=131
  match 162 seat0: winner=0 turns=17 selects=180
  match 162 seat1: winner=1 turns=14 selects=156
  match 163 seat0: winner=1 turns=10 selects=113
  match 163 seat1: winner=0 turns=13 selects=164
  match 164 seat0: winner=1 turns=10 selects=93
  match 164 seat1: winner=0 turns=11 selects=146
  match 165 seat0: winner=1 turns=12 selects=146
  match 165 seat1: winner=0 turns=17 selects=166
  match 166 seat0: winner=1 turns=12 selects=144
  match 166 seat1: winner=0 turns=11 selects=147
  match 167 seat0: winner=0 turns=21 selects=163
  match 167 seat1: winner=0 turns=13 selects=133
  match 168 seat0: winner=1 turns=10 selects=94
  match 168 seat1: winner=0 turns=12 selects=158
  match 169 seat0: winner=1 turns=10 selects=137
  match 169 seat1: winner=0 turns=13 selects=155
  match 170 seat0: winner=0 turns=17 selects=148
  match 170 seat1: winner=0 turns=11 selects=148
  match 171 seat0: winner=0 turns=11 selects=102
  match 171 seat1: winner=0 turns=11 selects=136
  match 172 seat0: winner=0 turns=7 selects=51
  match 172 seat1: winner=1 turns=12 selects=138
  match 173 seat0: winner=1 turns=18 selects=163
  match 173 seat1: winner=1 turns=14 selects=184
  match 174 seat0: winner=1 turns=12 selects=113
  match 174 seat1: winner=0 turns=17 selects=177
  match 175 seat0: winner=0 turns=15 selects=159
  match 175 seat1: winner=0 turns=13 selects=168
  match 176 seat0: winner=1 turns=14 selects=151
  match 176 seat1: winner=0 turns=19 selects=170
  match 177 seat0: winner=1 turns=14 selects=163
  match 177 seat1: winner=1 turns=12 selects=93
  match 178 seat0: winner=0 turns=11 selects=121
  match 178 seat1: winner=0 turns=13 selects=144
  match 179 seat0: winner=1 turns=12 selects=164
  match 179 seat1: winner=0 turns=15 selects=183
  match 180 seat0: winner=0 turns=17 selects=80
  match 180 seat1: winner=0 turns=5 selects=49
  match 181 seat0: winner=1 turns=13 selects=119
  match 181 seat1: winner=0 turns=13 selects=151
  match 182 seat0: winner=1 turns=12 selects=112
  match 182 seat1: winner=0 turns=13 selects=123
  match 183 seat0: winner=1 turns=14 selects=147
  match 183 seat1: winner=0 turns=13 selects=114
  match 184 seat0: winner=1 turns=12 selects=151
  match 184 seat1: winner=0 turns=11 selects=140
  match 185 seat0: winner=1 turns=15 selects=147
  match 185 seat1: winner=0 turns=15 selects=166
  match 186 seat0: winner=1 turns=10 selects=144
  match 186 seat1: winner=1 turns=14 selects=125
  match 187 seat0: winner=0 turns=7 selects=67
  match 187 seat1: winner=0 turns=15 selects=100
  match 188 seat0: winner=0 turns=11 selects=140
  match 188 seat1: winner=1 turns=14 selects=167
  match 189 seat0: winner=0 turns=11 selects=113
  match 189 seat1: winner=1 turns=10 selects=122
  match 190 seat0: winner=0 turns=11 selects=98
  match 190 seat1: winner=1 turns=10 selects=126
  match 191 seat0: winner=0 turns=13 selects=156
  match 191 seat1: winner=0 turns=3 selects=30
  match 192 seat0: winner=0 turns=11 selects=149
  match 192 seat1: winner=1 turns=12 selects=160
  match 193 seat0: winner=0 turns=11 selects=113
  match 193 seat1: winner=0 turns=13 selects=137
  match 194 seat0: winner=0 turns=11 selects=151
  match 194 seat1: winner=0 turns=15 selects=157
  match 195 seat0: winner=1 turns=8 selects=86
  match 195 seat1: winner=1 turns=12 selects=140
  match 196 seat0: winner=0 turns=9 selects=65
  match 196 seat1: winner=0 turns=13 selects=142
  match 197 seat0: winner=1 turns=12 selects=160
  match 197 seat1: winner=0 turns=11 selects=150
  match 198 seat0: winner=1 turns=12 selects=120
  match 198 seat1: winner=0 turns=13 selects=155
  match 199 seat0: winner=0 turns=11 selects=97
  match 199 seat1: winner=0 turns=11 selects=83
  match 200 seat0: winner=1 turns=10 selects=68
  match 200 seat1: winner=0 turns=5 selects=40
  match 201 seat0: winner=1 turns=14 selects=143
  match 201 seat1: winner=1 turns=12 selects=152
  match 202 seat0: winner=1 turns=10 selects=149
  match 202 seat1: winner=0 turns=14 selects=159
  match 203 seat0: winner=0 turns=13 selects=132
  match 203 seat1: winner=0 turns=15 selects=165
  match 204 seat0: winner=1 turns=12 selects=142
