=== cru@crustle vs rule:alakazam5@alakazam5 matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 193 seat0: winner=1 turns=12 selects=111
  match 193 seat1: winner=1 turns=21 selects=135
  match 194 seat0: winner=0 turns=30 selects=133
  match 194 seat1: winner=0 turns=9 selects=85
  match 195 seat0: winner=0 turns=23 selects=146
  match 195 seat1: winner=1 turns=22 selects=144
  match 196 seat0: winner=0 turns=26 selects=117
  match 196 seat1: winner=0 turns=15 selects=111
  match 197 seat0: winner=1 turns=20 selects=121
  match 197 seat1: winner=1 turns=20 selects=125
  match 198 seat0: winner=0 turns=27 selects=132
  match 198 seat1: winner=0 turns=9 selects=82
  match 199 seat0: winner=1 turns=10 selects=102
  match 199 seat1: winner=1 turns=23 selects=139

A=bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.540 [0.491, 0.588] W216/D0/L184 over 400 games
  as P0: W/D/L=(111, 0, 89)  as P1: W/D/L=(105, 0, 95)
  elapsed 54.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_cru_crustle_vs_rulealakazam5_alakazam5.jsonl
  [health] OK calls=17080 fallbacks=0 net_missing=0 deck=400
