=== luc@lucario_v10 vs rule:dragapult@dragapult_ex matches=200 ===
⚠ p100_luc_lucario_v10_vs_ruledragapult_dragapult_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea988-b2f675; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 181 seat1: winner=1 turns=9 selects=134
  match 182 seat0: winner=1 turns=12 selects=139
  match 182 seat1: winner=0 turns=14 selects=166
  match 183 seat0: winner=0 turns=19 selects=138
  match 183 seat1: winner=1 turns=13 selects=122
  match 184 seat0: winner=0 turns=11 selects=147
  match 184 seat1: winner=1 turns=17 selects=89
  match 185 seat0: winner=1 turns=14 selects=196
  match 185 seat1: winner=0 turns=12 selects=172
  match 186 seat0: winner=1 turns=14 selects=194
  match 186 seat1: winner=1 turns=13 selects=141
  match 187 seat0: winner=0 turns=11 selects=100
  match 187 seat1: winner=0 turns=10 selects=119
  match 188 seat0: winner=0 turns=11 selects=132
  match 188 seat1: winner=1 turns=3 selects=30
  match 189 seat0: winner=0 turns=13 selects=152
  match 189 seat1: winner=1 turns=11 selects=122
  match 190 seat0: winner=1 turns=6 selects=62
  match 190 seat1: winner=1 turns=15 selects=142
  match 191 seat0: winner=0 turns=3 selects=23
  match 191 seat1: winner=1 turns=11 selects=167
  match 192 seat0: winner=1 turns=22 selects=179
  match 192 seat1: winner=1 turns=11 selects=150
  match 193 seat0: winner=0 turns=11 selects=157
  match 193 seat1: winner=0 turns=12 selects=133
  match 194 seat0: winner=0 turns=15 selects=129
  match 194 seat1: winner=1 turns=9 selects=107
  match 195 seat0: winner=0 turns=13 selects=167
  match 195 seat1: winner=1 turns=13 selects=166
  match 196 seat0: winner=0 turns=13 selects=178
  match 196 seat1: winner=1 turns=17 selects=127
  match 197 seat0: winner=1 turns=12 selects=160
  match 197 seat1: winner=1 turns=13 selects=134
  match 198 seat0: winner=0 turns=11 selects=166
  match 198 seat1: winner=1 turns=11 selects=174
  match 199 seat0: winner=1 turns=10 selects=118
  match 199 seat1: winner=0 turns=12 selects=135

A=bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.620 [0.572, 0.666] W248/D0/L152 over 400 games
  as P0: W/D/L=(116, 0, 84)  as P1: W/D/L=(132, 0, 68)
  elapsed 57.2s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_luc_lucario_v10_vs_ruledragapult_dragapult_ex.jsonl
  [health] OK calls=23196 fallbacks=0 net_missing=0 deck=400
