=== ala@alakazam5 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 155 seat1: winner=0 turns=9 selects=129
  match 156 seat0: winner=1 turns=12 selects=178
  match 156 seat1: winner=0 turns=11 selects=158
  match 157 seat0: winner=0 turns=11 selects=173
  match 157 seat1: winner=1 turns=12 selects=144
  match 158 seat0: winner=1 turns=10 selects=176
  match 158 seat1: winner=0 turns=15 selects=191
  match 159 seat0: winner=1 turns=10 selects=168
  match 159 seat1: winner=1 turns=14 selects=164
  match 160 seat0: winner=1 turns=14 selects=226
  match 160 seat1: winner=0 turns=15 selects=190
  match 161 seat0: winner=1 turns=9 selects=161
  match 161 seat1: winner=0 turns=11 selects=152
  match 162 seat0: winner=0 turns=15 selects=179
  match 162 seat1: winner=0 turns=11 selects=145
  match 163 seat0: winner=1 turns=12 selects=175
  match 163 seat1: winner=0 turns=9 selects=152
  match 164 seat0: winner=1 turns=14 selects=184
  match 164 seat1: winner=0 turns=14 selects=207
  match 165 seat0: winner=1 turns=13 selects=201
  match 165 seat1: winner=0 turns=15 selects=213
  match 166 seat0: winner=1 turns=13 selects=151
  match 166 seat1: winner=1 turns=12 selects=145
  match 167 seat0: winner=0 turns=13 selects=138
  match 167 seat1: winner=0 turns=13 selects=215
  match 168 seat0: winner=1 turns=14 selects=192
  match 168 seat1: winner=1 turns=12 selects=176
  match 169 seat0: winner=1 turns=10 selects=179
  match 169 seat1: winner=1 turns=8 selects=123
  match 170 seat0: winner=1 turns=10 selects=130
  match 170 seat1: winner=0 turns=11 selects=159
  match 171 seat0: winner=1 turns=12 selects=175
  match 171 seat1: winner=0 turns=13 selects=210
  match 172 seat0: winner=1 turns=12 selects=167
  match 172 seat1: winner=0 turns=11 selects=155
  match 173 seat0: winner=0 turns=11 selects=112
  match 173 seat1: winner=0 turns=11 selects=169
  match 174 seat0: winner=1 turns=13 selects=176
  match 174 seat1: winner=1 turns=14 selects=192
  match 175 seat0: winner=1 turns=3 selects=11
  match 175 seat1: winner=0 turns=9 selects=88
  match 176 seat0: winner=1 turns=10 selects=141
  match 176 seat1: winner=0 turns=13 selects=169
  match 177 seat0: winner=1 turns=12 selects=193
  match 177 seat1: winner=0 turns=13 selects=171
  match 178 seat0: winner=1 turns=12 selects=166
  match 178 seat1: winner=0 turns=13 selects=180
  match 179 seat0: winner=0 turns=11 selects=113
  match 179 seat1: winner=0 turns=11 selects=141
  match 180 seat0: winner=1 turns=12 selects=188
  match 180 seat1: winner=1 turns=4 selects=42
  match 181 seat0: winner=0 turns=13 selects=202
  match 181 seat1: winner=1 turns=12 selects=135
  match 182 seat0: winner=1 turns=12 selects=151
  match 182 seat1: winner=0 turns=15 selects=211
  match 183 seat0: winner=1 turns=12 selects=183
  match 183 seat1: winner=0 turns=17 selects=189
  match 184 seat0: winner=1 turns=10 selects=145
  match 184 seat1: winner=1 turns=14 selects=181
  match 185 seat0: winner=1 turns=13 selects=173
  match 185 seat1: winner=0 turns=11 selects=167
  match 186 seat0: winner=1 turns=16 selects=221
  match 186 seat1: winner=0 turns=11 selects=161
  match 187 seat0: winner=1 turns=8 selects=128
  match 187 seat1: winner=0 turns=11 selects=161
  match 188 seat0: winner=1 turns=10 selects=124
  match 188 seat1: winner=1 turns=14 selects=218
  match 189 seat0: winner=1 turns=12 selects=199
  match 189 seat1: winner=0 turns=13 selects=224
  match 190 seat0: winner=1 turns=15 selects=203
  match 190 seat1: winner=0 turns=13 selects=200
  match 191 seat0: winner=1 turns=12 selects=174
  match 191 seat1: winner=1 turns=14 selects=96
  match 192 seat0: winner=0 turns=11 selects=195
  match 192 seat1: winner=0 turns=11 selects=149
  match 193 seat0: winner=1 turns=16 selects=183
  match 193 seat1: winner=0 turns=7 selects=119
  match 194 seat0: winner=1 turns=14 selects=172
  match 194 seat1: winner=1 turns=16 selects=166
  match 195 seat0: winner=1 turns=16 selects=201
  match 195 seat1: winner=0 turns=9 selects=110
  match 196 seat0: winner=1 turns=14 selects=225
  match 196 seat1: winner=0 turns=13 selects=202
  match 197 seat0: winner=1 turns=14 selects=211
  match 197 seat1: winner=0 turns=13 selects=194
  match 198 seat0: winner=1 turns=16 selects=204
  match 198 seat1: winner=0 turns=9 selects=169
  match 199 seat0: winner=1 turns=14 selects=216
  match 199 seat1: winner=0 turns=13 selects=175

A=bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.273 [0.231, 0.318] W109/D0/L291 over 400 games
  as P0: W/D/L=(60, 0, 140)  as P1: W/D/L=(49, 0, 151)
  elapsed 117.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_ala_alakazam5_vs_bcall_grimmsnarl.jsonl
  [health] OK calls=69757 fallbacks=0 net_missing=0 deck=800
