=== ala@alakazam5 vs rule:alakazam5@alakazam5 matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 172 seat1: winner=1 turns=14 selects=176
  match 173 seat0: winner=1 turns=14 selects=157
  match 173 seat1: winner=1 turns=14 selects=149
  match 174 seat0: winner=1 turns=14 selects=148
  match 174 seat1: winner=1 turns=16 selects=169
  match 175 seat0: winner=1 turns=13 selects=160
  match 175 seat1: winner=1 turns=16 selects=110
  match 176 seat0: winner=0 turns=13 selects=155
  match 176 seat1: winner=1 turns=14 selects=126
  match 177 seat0: winner=0 turns=13 selects=163
  match 177 seat1: winner=1 turns=16 selects=139
  match 178 seat0: winner=0 turns=13 selects=120
  match 178 seat1: winner=1 turns=12 selects=147
  match 179 seat0: winner=0 turns=18 selects=183
  match 179 seat1: winner=0 turns=14 selects=180
  match 180 seat0: winner=0 turns=15 selects=154
  match 180 seat1: winner=0 turns=11 selects=150
  match 181 seat0: winner=1 turns=15 selects=161
  match 181 seat1: winner=0 turns=15 selects=177
  match 182 seat0: winner=0 turns=13 selects=155
  match 182 seat1: winner=1 turns=16 selects=145
  match 183 seat0: winner=0 turns=15 selects=154
  match 183 seat1: winner=1 turns=12 selects=116
  match 184 seat0: winner=0 turns=15 selects=156
  match 184 seat1: winner=0 turns=17 selects=186
  match 185 seat0: winner=0 turns=11 selects=107
  match 185 seat1: winner=1 turns=16 selects=134
  match 186 seat0: winner=0 turns=15 selects=130
  match 186 seat1: winner=1 turns=16 selects=169
  match 187 seat0: winner=1 turns=16 selects=167
  match 187 seat1: winner=1 turns=14 selects=138
  match 188 seat0: winner=1 turns=19 selects=200
  match 188 seat1: winner=0 turns=12 selects=135
  match 189 seat0: winner=0 turns=13 selects=138
  match 189 seat1: winner=1 turns=14 selects=145
  match 190 seat0: winner=0 turns=13 selects=102
