=== luc@lucario_v10 vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea8e4-31b603; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 190 seat1: winner=1 turns=11 selects=82
  match 191 seat0: winner=0 turns=9 selects=74
  match 191 seat1: winner=0 turns=20 selects=148
  match 192 seat0: winner=2 turns=21 selects=122
  match 192 seat1: winner=0 turns=22 selects=100
  match 193 seat0: winner=1 turns=19 selects=149
  match 193 seat1: winner=0 turns=15 selects=111
  match 194 seat0: winner=0 turns=13 selects=84
  match 194 seat1: winner=1 turns=13 selects=99
  match 195 seat0: winner=0 turns=19 selects=124
  match 195 seat1: winner=1 turns=7 selects=56
  match 196 seat0: winner=0 turns=17 selects=105
  match 196 seat1: winner=1 turns=13 selects=94
  match 197 seat0: winner=1 turns=21 selects=135
  match 197 seat1: winner=1 turns=13 selects=93
  match 198 seat0: winner=1 turns=26 selects=183
  match 198 seat1: winner=1 turns=13 selects=86
  match 199 seat0: winner=0 turns=13 selects=83
  match 199 seat1: winner=1 turns=9 selects=69

A=bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.449 [0.401, 0.498] W179/D1/L220 over 400 games
  as P0: W/D/L=(96, 1, 103)  as P1: W/D/L=(83, 0, 117)
  elapsed 52.6s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_luc_lucario_v10_vs_rulecrustle_crustle_v1.jsonl
  [health] OK calls=34050 fallbacks=0 net_missing=0 deck=400
