=== gar@cynthia_garchomp vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 171 seat1: winner=0 turns=11 selects=159
  match 172 seat0: winner=0 turns=13 selects=160
  match 172 seat1: winner=1 turns=14 selects=161
  match 173 seat0: winner=1 turns=14 selects=195
  match 173 seat1: winner=0 turns=13 selects=116
  match 174 seat0: winner=1 turns=12 selects=146
  match 174 seat1: winner=1 turns=12 selects=171
  match 175 seat0: winner=1 turns=16 selects=180
  match 175 seat1: winner=0 turns=11 selects=197
  match 176 seat0: winner=0 turns=19 selects=200
  match 176 seat1: winner=0 turns=11 selects=123
  match 177 seat0: winner=1 turns=14 selects=138
  match 177 seat1: winner=0 turns=13 selects=178
  match 178 seat0: winner=1 turns=12 selects=180
  match 178 seat1: winner=1 turns=16 selects=206
  match 179 seat0: winner=1 turns=14 selects=203
  match 179 seat1: winner=0 turns=15 selects=198
  match 180 seat0: winner=1 turns=18 selects=252
  match 180 seat1: winner=0 turns=13 selects=128
  match 181 seat0: winner=1 turns=12 selects=202
  match 181 seat1: winner=1 turns=14 selects=171
  match 182 seat0: winner=0 turns=11 selects=154
  match 182 seat1: winner=0 turns=15 selects=223
  match 183 seat0: winner=0 turns=15 selects=156
  match 183 seat1: winner=0 turns=13 selects=227
  match 184 seat0: winner=1 turns=12 selects=183
  match 184 seat1: winner=0 turns=13 selects=129
  match 185 seat0: winner=0 turns=15 selects=213
  match 185 seat1: winner=1 turns=14 selects=157
  match 186 seat0: winner=1 turns=14 selects=184
  match 186 seat1: winner=0 turns=13 selects=153
  match 187 seat0: winner=1 turns=12 selects=195
  match 187 seat1: winner=0 turns=11 selects=166
  match 188 seat0: winner=0 turns=13 selects=171
  match 188 seat1: winner=0 turns=11 selects=139
  match 189 seat0: winner=1 turns=12 selects=178
  match 189 seat1: winner=0 turns=7 selects=90
  match 190 seat0: winner=1 turns=9 selects=148
  match 190 seat1: winner=0 turns=11 selects=185
  match 191 seat0: winner=0 turns=15 selects=195
  match 191 seat1: winner=0 turns=13 selects=186
  match 192 seat0: winner=1 turns=20 selects=270
  match 192 seat1: winner=0 turns=13 selects=180
  match 193 seat0: winner=0 turns=17 selects=194
  match 193 seat1: winner=0 turns=13 selects=186
  match 194 seat0: winner=0 turns=15 selects=215
  match 194 seat1: winner=1 turns=12 selects=171
  match 195 seat0: winner=1 turns=14 selects=221
  match 195 seat1: winner=0 turns=11 selects=141
  match 196 seat0: winner=1 turns=16 selects=219
  match 196 seat1: winner=1 turns=14 selects=191
  match 197 seat0: winner=0 turns=11 selects=145
  match 197 seat1: winner=0 turns=11 selects=167
  match 198 seat0: winner=1 turns=12 selects=194
  match 198 seat1: winner=1 turns=16 selects=180
  match 199 seat0: winner=1 turns=12 selects=186
  match 199 seat1: winner=0 turns=11 selects=184

A=bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.323 [0.279, 0.370] W129/D0/L271 over 400 games
  as P0: W/D/L=(75, 0, 125)  as P1: W/D/L=(54, 0, 146)
  elapsed 117.1s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_gar_cynthia_garchomp_vs_bcv5s2_grimmsnarl.jsonl
  [health] OK calls=70662 fallbacks=0 net_missing=0 deck=800
