=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 156 seat0: winner=1 turns=21 selects=127
  match 156 seat1: winner=0 turns=19 selects=118
  match 157 seat0: winner=1 turns=21 selects=127
  match 157 seat1: winner=0 turns=19 selects=129
  match 158 seat0: winner=1 turns=22 selects=117
  match 158 seat1: winner=0 turns=21 selects=121
  match 159 seat0: winner=1 turns=26 selects=126
  match 159 seat1: winner=0 turns=20 selects=143
  match 160 seat0: winner=1 turns=19 selects=120
  match 160 seat1: winner=0 turns=17 selects=114
  match 161 seat0: winner=1 turns=24 selects=136
  match 161 seat1: winner=0 turns=20 selects=131
  match 162 seat0: winner=1 turns=25 selects=134
  match 162 seat1: winner=0 turns=18 selects=113
  match 163 seat0: winner=1 turns=20 selects=121
  match 163 seat1: winner=0 turns=22 selects=136
  match 164 seat0: winner=1 turns=22 selects=135
  match 164 seat1: winner=0 turns=19 selects=131
  match 165 seat0: winner=1 turns=20 selects=124
  match 165 seat1: winner=0 turns=20 selects=125
  match 166 seat0: winner=1 turns=17 selects=121
  match 166 seat1: winner=0 turns=21 selects=133
  match 167 seat0: winner=1 turns=22 selects=137
  match 167 seat1: winner=0 turns=22 selects=130
  match 168 seat0: winner=1 turns=22 selects=132
  match 168 seat1: winner=0 turns=22 selects=128
  match 169 seat0: winner=1 turns=18 selects=120
  match 169 seat1: winner=0 turns=17 selects=118
  match 170 seat0: winner=1 turns=10 selects=42
  match 170 seat1: winner=0 turns=18 selects=132
  match 171 seat0: winner=1 turns=21 selects=132
  match 171 seat1: winner=0 turns=15 selects=100
  match 172 seat0: winner=1 turns=20 selects=116
