=== ala@alakazam5 vs rule:crustle@crustle_v1 matches=200 ===
  match 191 seat0: winner=0 turns=3 selects=24
  match 191 seat1: winner=1 turns=11 selects=71
  match 192 seat0: winner=0 turns=3 selects=33
  match 192 seat1: winner=1 turns=11 selects=58
  match 193 seat0: winner=0 turns=5 selects=44
  match 193 seat1: winner=1 turns=5 selects=41
  match 194 seat0: winner=0 turns=25 selects=150
  match 194 seat1: winner=1 turns=11 selects=79
  match 195 seat0: winner=0 turns=13 selects=73
  match 195 seat1: winner=1 turns=5 selects=37
  match 196 seat0: winner=0 turns=9 selects=51
  match 196 seat1: winner=1 turns=5 selects=36
  match 197 seat0: winner=0 turns=7 selects=59
  match 197 seat1: winner=1 turns=9 selects=62
  match 198 seat0: winner=1 turns=31 selects=148
  match 198 seat1: winner=1 turns=3 selects=34
  match 199 seat0: winner=0 turns=9 selects=60
  match 199 seat1: winner=1 turns=9 selects=71

A=bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.943 [0.915, 0.961] W377/D0/L23 over 400 games
  as P0: W/D/L=(189, 0, 11)  as P1: W/D/L=(188, 0, 12)
  elapsed 29.4s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_ala_alakazam5_vs_rulecrustle_crustle_v1.jsonl
  [health] OK calls=18639 fallbacks=0 net_missing=0 deck=400
