=== gar@cynthia_garchomp vs rule:alakazam5@alakazam5 matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 194 seat0: winner=0 turns=19 selects=155
  match 194 seat1: winner=0 turns=15 selects=172
  match 195 seat0: winner=1 turns=16 selects=186
  match 195 seat1: winner=1 turns=16 selects=153
  match 196 seat0: winner=0 turns=17 selects=193
  match 196 seat1: winner=0 turns=15 selects=158
  match 197 seat0: winner=0 turns=20 selects=172
  match 197 seat1: winner=1 turns=6 selects=59
  match 198 seat0: winner=1 turns=16 selects=169
  match 198 seat1: winner=1 turns=20 selects=187
  match 199 seat0: winner=1 turns=14 selects=160
  match 199 seat1: winner=1 turns=16 selects=158

A=bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.672 [0.625, 0.717] W269/D0/L131 over 400 games
  as P0: W/D/L=(145, 0, 55)  as P1: W/D/L=(124, 0, 76)
  elapsed 73.7s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_gar_cynthia_garchomp_vs_rulealakazam5_alakazam5.jsonl
  [health] OK calls=32543 fallbacks=0 net_missing=0 deck=400
