=== oger@teal_mask_ogerpon vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eae3c-9ae6f7; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 196 seat0: winner=0 turns=9 selects=109
  match 196 seat1: winner=1 turns=10 selects=133
  match 197 seat0: winner=0 turns=9 selects=123
  match 197 seat1: winner=1 turns=10 selects=119
  match 198 seat0: winner=0 turns=13 selects=170
  match 198 seat1: winner=0 turns=9 selects=157
  match 199 seat0: winner=0 turns=9 selects=156
  match 199 seat1: winner=1 turns=10 selects=122

A=bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.860 [0.823, 0.891] W344/D0/L56 over 400 games
  as P0: W/D/L=(182, 0, 18)  as P1: W/D/L=(162, 0, 38)
  elapsed 72.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_oger_teal_mask_ogerpon_vs_bcall_grimmsnarl.jsonl
  [health] OK calls=56312 fallbacks=0 net_missing=0 deck=800
